,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,86.9978,96.43829,95.77513,87.45719,85.67282,1.5649528370600245,1.562174009691482,1.6469871537311853,1.554799224230149,1.7451368942164802
ctgan,86.9978,96.43829,95.4563,87.93719999999999,85.67282,1.5649528370600245,1.562174009691482,1.5019951390659636,1.9883476613062985,1.7451368942164802
smote,89.6434,96.45631,95.67766,88.21211,86.33156,1.2618955485917038,1.4647335028370652,1.4967139615393,1.422076943105087,1.5158739798105456
tabebm,89.4541,96.45498,95.91919,88.39658,87.51603,0.7807008888029894,1.391330006225057,1.4055316071785005,1.8757697328474698,1.3192506652978768
tvae,87.64121,95.19982,94.75933,86.05535,85.47255,1.6709584451578854,1.370555610611177,1.196644174394005,1.3854691321394055,1.5183280331045446
