method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,4.0,1.9,3.6,4.1,1.4,1.2,2.6999999999999997
tvae,2.1,2.9,2.8,2.3,2.7,4.6,2.9
tabebm,2.7,4.0,2.8,1.7,3.6,2.8,2.933333333333333
smote,1.2,2.7,3.1,3.0,4.9,4.2,3.1833333333333336
ctgan,5.0,3.5,2.7,3.9,2.4,2.2,3.283333333333333
