method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,2.2,1.6,2.3,1.4,4.3,1.1,2.15
smote,1.0,3.0,2.3,2.5,4.6,2.9,2.716666666666667
baseline,4.0,2.2,2.8,3.6,1.2,3.3,2.8499999999999996
ctgan,5.0,3.2,2.9,3.4,2.2,4.3,3.5
tvae,2.8,5.0,4.7,4.1,2.7,3.4,3.783333333333333
