method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.1,2.0,2.2,1.9,3.2,2.0800000000000005
baseline,2.9,1.7,2.6,3.4,2.1,2.54
smote,3.9,2.7,3.1,3.4,3.1,3.2399999999999998
tvae,2.2,4.9,4.2,3.4,2.5,3.4400000000000004
ctgan,4.9,3.7,2.9,2.9,4.1,3.7
