method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,2.0238000000000014,-1.400020000000005,-0.8999999999999986,0.7238100000000074,4.3095500000000015,0.819039999999994,0.9293633333333334
smote,2.2380800000000036,1.3333300000000037,0.16666000000000736,1.0428400000000053,4.704769999999996,1.338079999999998,1.8039600000000025
tabebm,2.3618900000000025,2.10949999999999,1.0190500000000071,1.933330000000005,1.0476400000000012,0.8952200000000019,1.5611050000000013
tvae,5.885689999999997,1.3237799999999993,0.6999900000000068,1.3952400000000011,5.680979999999998,0.08571000000000595,2.5118983333333347
