method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.042840000000012424,-0.1346900000000062,0.0,0.0,-0.029588333333336436
smote,-1.2704099999999983,0.10635999999999513,-1.0392800000000193,0.056659999999993715,-0.33723000000000525,1.1518799999999914,-0.22200333333334044
tabebm,-1.9340899999999976,0.34331000000000245,-0.8666800000000023,1.741889999999998,-1.3735300000000024,1.9174500000000023,-0.028608333333333274
tvae,0.5746500000000054,-1.6515999999999877,-1.6693400000000054,0.554000000000002,0.5627399999999909,1.5969999999999942,-0.005425000000000087
