method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.044189999999986185,0.22954999999998904,0.0,0.0,0.03089333333333381
smote,0.4603699999999975,-0.028900000000007253,-0.030579999999986285,0.6222399999999908,0.0,0.07478000000000407,0.18298499999999981
tabebm,0.5013900000000007,0.0,-0.030579999999986285,2.189629999999994,0.0,0.08838999999998975,0.45813833333333304
tvae,-5.819679999999991,-7.584030000000013,-4.8959799999999944,2.221900000000005,-0.23120000000000118,0.10367999999999711,-2.7008849999999995
