,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,56.06668,61.48096,60.50476999999999,60.37143,56.795230000000004,61.82858,2.9509467485688186,2.6646228885570693,3.7143064903903062,2.5960935692133904,4.580181643911321,2.6568470736737724
ctgan,58.09048,60.08094,59.604769999999995,61.095240000000004,61.104780000000005,62.647619999999996,3.6463181112520133,4.415220383627527,2.8027318415550697,4.449250711998846,2.9358428196648725,3.4380646338052205
smote,58.30476,62.81429000000001,60.67143,61.41427,61.5,63.16666,3.7655683962864255,2.8912758769366085,3.1734348303271225,2.5252648904179904,2.571759316542327,2.7120613927826622
tabebm,58.42857,63.59045999999999,61.52382,62.30476,57.842870000000005,62.723800000000004,3.3027294729090717,3.0536418713107474,2.8726351235214143,2.2219006754478405,1.8050627425537205,2.8402190662771867
tvae,61.952369999999995,62.80474,61.20476,61.76667,62.47621,61.91429000000001,2.6040407677513624,3.10862962598563,2.9589566063432273,2.1864754967501656,2.7044797714779305,2.709492892877846
