method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.24569999999999936,0.0644800000000032,0.0,0.0,-0.030203333333332694
smote,20.427749999999996,-0.351949999999988,0.6465800000000002,1.2441199999999952,-8.751869999999997,1.2661600000000064,2.413465000000002
tabebm,16.879580000000004,0.6216400000000135,0.7087799999999902,2.7288500000000013,-6.901890000000009,4.731760000000008,3.1281200000000013
tvae,14.570259999999998,-4.241889999999984,-2.729760000000006,-0.8555100000000024,-3.9273900000000026,1.4298000000000002,0.7075850000000005
