method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,2.1,2.0,2.2,1.9,1.7,2.8,2.1166666666666667
smote,1.9,2.9,2.5,3.3,2.8,2.9,2.7166666666666663
baseline,4.1,2.3,2.7,2.0,2.4,3.2,2.783333333333333
tvae,3.4,3.2,3.0,3.6,3.4,2.3,3.15
ctgan,3.5,4.6,4.6,4.2,4.7,3.8,4.233333333333333
