method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,1.9,2.2,2.3,2.1,1.1,2.3,1.9833333333333332
tabebm,4.0,3.6,2.9,2.5,2.8,2.9,3.1166666666666667
tvae,3.0,2.1,2.8,3.7,3.6,3.6,3.1333333333333333
smote,3.1,3.9,3.8,2.4,3.8,2.2,3.1999999999999997
ctgan,3.0,3.2,3.2,4.3,3.7,4.0,3.5666666666666664
