method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
smote,1.6,1.3,1.8,2.6,2.6,3.2,2.1833333333333336
tabebm,1.7,2.9,2.3,2.1,3.8,1.8,2.4333333333333336
baseline,3.5,2.5,2.7,3.0,1.7,2.5,2.65
ctgan,4.5,3.6,3.2,2.6,2.7,3.6,3.366666666666667
tvae,3.7,4.7,5.0,4.7,4.2,3.9,4.366666666666666
