method,knn,lr,mlp,rf,xgboost,AVG_RANK
tvae,1.5,2.0,2.2,2.1,2.4,2.04
tabebm,1.5,1.0,2.5,3.3,2.4,2.14
baseline,3.0,3.0,3.2,2.7,2.4,2.86
smote,4.0,4.0,3.2,3.0,3.4,3.5199999999999996
ctgan,5.0,5.0,3.9,3.9,4.4,4.44
