method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.4,2.6,2.0,1.8,3.2,1.2,2.033333333333333
smote,1.6,2.5,2.2,3.1,2.0,2.6,2.3333333333333335
baseline,3.0,1.1,2.9,4.9,1.0,3.9,2.8000000000000003
tvae,5.0,5.0,5.0,1.2,4.3,2.4,3.8166666666666664
ctgan,4.0,3.8,2.9,4.0,4.5,4.9,4.016666666666667
