method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,2.5,1.7,2.5,1.3,3.9,1.5,2.2333333333333334
baseline,4.0,2.7,3.2,3.7,1.3,2.4,2.8833333333333333
smote,1.8,2.6,2.9,2.6,5.0,3.6,3.0833333333333335
tvae,1.7,4.3,3.3,3.8,2.5,4.1,3.2833333333333337
ctgan,5.0,3.7,3.1,3.6,2.3,3.4,3.516666666666666
