method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.8,2.5,2.4,2.1,1.9,2.1399999999999997
smote,2.0,2.7,2.0,2.9,3.5,2.62
baseline,3.2,1.6,2.4,2.9,3.1,2.64
ctgan,4.4,3.4,3.5,3.2,4.2,3.7399999999999998
tvae,3.6,4.8,4.7,3.9,2.3,3.8600000000000003
