method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.330449999999999,-0.3027699999999953,0.0,0.0,-0.10553666666666572
smote,5.56237999999999,-0.5128899999999987,-1.1683199999999943,0.0698900000000151,2.598019999999991,0.5613999999999919,1.1850799999999992
tabebm,4.17667999999999,-0.43406000000000233,0.17135999999999285,0.2588500000000096,2.4735099999999903,1.6947899999999834,1.3901883333333274
tvae,6.115650000000002,0.9361900000000105,-0.409710000000004,2.338160000000002,3.26142999999999,4.042609999999982,2.714054999999997
