method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.6,2.1,1.9,2.4,2.4,1.6,2.0
smote,2.2,2.2,3.2,2.7,3.6,2.6,2.75
baseline,3.2,2.6,3.0,3.1,2.1,3.3,2.8833333333333333
ctgan,4.2,3.6,2.3,2.4,3.1,4.3,3.316666666666667
tvae,3.8,4.5,4.6,4.4,3.8,3.2,4.05
