method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tvae,1.8,2.7,3.0,2.4,2.6,1.9,2.4
tabebm,3.2,2.3,2.3,2.8,3.0,2.4,2.6666666666666665
smote,1.8,3.0,4.1,2.9,2.4,3.7,2.983333333333333
baseline,3.6,3.0,2.9,3.4,3.0,3.0,3.15
ctgan,4.6,4.0,2.7,3.5,4.0,4.0,3.8000000000000003
