=== mushroom n=100 on GPU 2 ===

============================================================
Dataset: mushroom, N_real: 100, GPUs: [2]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[2], cpu_jobs=6

[1/4] Loading dataset...
  Loaded mushroom: 8124 samples, 22 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [91/300] split=3 baseline +       lr -> 89.68% (0.0s)
  [92/300] split=3 baseline +      knn -> 90.01% (0.1s)
  [93/300] split=3 baseline +      mlp -> 93.06% (0.3s)
  [94/300] split=3 baseline +       rf -> 97.35% (0.3s)
  [95/300] split=3 baseline +  xgboost -> 94.75% (0.4s)
  [96/300] split=3 baseline +   tabpfn -> 97.52% (1.6s)
  [97/300] split=3    smote +       lr -> 89.35% (0.2s)
  [98/300] split=3    smote +      knn -> 95.46% (0.1s)
  [99/300] split=3    smote +      mlp -> 92.29% (0.7s)
  [100/300] split=3    smote +       rf -> 96.97% (0.2s)
  [101/300] split=3    smote +  xgboost -> 94.17% (0.2s)
  [102/300] split=3    smote +   tabpfn -> 94.83% (1.1s)
  [103/300] split=3   tabebm +       lr -> 89.34% (0.3s)
  [104/300] split=3   tabebm +      knn -> 95.04% (0.1s)
  [105/300] split=3   tabebm +      mlp -> 94.26% (0.4s)
  [106/300] split=3   tabebm +       rf -> 98.16% (0.3s)
  [107/300] split=3   tabebm +  xgboost -> 96.80% (0.1s)
  [108/300] split=3   tabebm +   tabpfn -> 95.85% (0.7s)
  [109/300] split=3     tvae +       lr -> 89.07% (0.4s)
  [110/300] split=3     tvae +      knn -> 90.17% (0.2s)
  [111/300] split=3     tvae +      mlp -> 91.86% (0.9s)
  [112/300] split=3     tvae +       rf -> 97.55% (0.2s)
  [113/300] split=3     tvae +  xgboost -> 93.51% (0.1s)
  [114/300] split=3     tvae +   tabpfn -> 97.95% (1.1s)
  [115/300] split=3    ctgan +       lr -> 89.68% (0.0s)
  [116/300] split=3    ctgan +      knn -> 90.01% (0.1s)
  [117/300] split=3    ctgan +      mlp -> 93.67% (0.1s)
  [118/300] split=3    ctgan +       rf -> 96.53% (0.2s)
  [119/300] split=3    ctgan +  xgboost -> 94.75% (0.6s)
  [120/300] split=3    ctgan +   tabpfn -> 97.52% (0.8s)
  [121/300] split=4 baseline +       lr -> 91.77% (0.0s)
  [122/300] split=4 baseline +      knn -> 92.21% (0.1s)
  [123/300] split=4 baseline +      mlp -> 94.81% (1.3s)
  [124/300] split=4 baseline +       rf -> 95.70% (0.2s)
  [125/300] split=4 baseline +  xgboost -> 94.74% (0.2s)
  [126/300] split=4 baseline +   tabpfn -> 99.17% (1.4s)
  [127/300] split=4    smote +       lr -> 93.99% (0.5s)
  [128/300] split=4    smote +      knn -> 95.65% (0.2s)
  [129/300] split=4    smote +      mlp -> 96.16% (0.6s)
  [130/300] split=4    smote +       rf -> 96.10% (0.2s)
  [131/300] split=4    smote +  xgboost -> 95.71% (0.1s)
  [132/300] split=4    smote +   tabpfn -> 95.42% (0.9s)
  [133/300] split=4   tabebm +       lr -> 92.61% (0.2s)
  [134/300] split=4   tabebm +      knn -> 95.07% (0.1s)
  [135/300] split=4   tabebm +      mlp -> 95.98% (0.3s)
  [136/300] split=4   tabebm +       rf -> 95.90% (0.2s)
  [137/300] split=4   tabebm +  xgboost -> 95.52% (0.1s)
  [138/300] split=4   tabebm +   tabpfn -> 96.25% (0.7s)
  [139/300] split=4     tvae +       lr -> 90.58% (0.2s)
  [140/300] split=4     tvae +      knn -> 95.79% (0.2s)
  [141/300] split=4     tvae +      mlp -> 96.14% (1.0s)
  [142/300] split=4     tvae +       rf -> 95.50% (0.3s)
  [143/300] split=4     tvae +  xgboost -> 95.13% (0.4s)
  [144/300] split=4     tvae +   tabpfn -> 95.89% (1.3s)
  [145/300] split=4    ctgan +       lr -> 91.77% (0.1s)
  [146/300] split=4    ctgan +      knn -> 92.21% (0.2s)
  [147/300] split=4    ctgan +      mlp -> 96.16% (0.6s)
  [148/300] split=4    ctgan +       rf -> 96.29% (0.2s)
  [149/300] split=4    ctgan +  xgboost -> 94.74% (0.1s)
  [150/300] split=4    ctgan +   tabpfn -> 99.17% (1.1s)
  [151/300] split=5 baseline +       lr -> 92.85% (0.0s)
  [152/300] split=5 baseline +      knn -> 96.37% (0.1s)
  [153/300] split=5 baseline +      mlp -> 95.95% (0.3s)
  [154/300] split=5 baseline +       rf -> 97.98% (0.2s)
  [155/300] split=5 baseline +  xgboost -> 96.32% (0.1s)
  [156/300] split=5 baseline +   tabpfn -> 98.55% (0.9s)
  [157/300] split=5    smote +       lr -> 94.08% (0.5s)
  [158/300] split=5    smote +      knn -> 97.36% (0.2s)
  [159/300] split=5    smote +      mlp -> 95.72% (2.7s)
  [160/300] split=5    smote +       rf -> 97.98% (0.2s)
  [161/300] split=5    smote +  xgboost -> 95.30% (0.4s)
  [162/300] split=5    smote +   tabpfn -> 96.99% (1.4s)
  [163/300] split=5   tabebm +       lr -> 94.31% (0.2s)
  [164/300] split=5   tabebm +      knn -> 97.60% (0.2s)
  [165/300] split=5   tabebm +      mlp -> 96.57% (0.6s)
  [166/300] split=5   tabebm +       rf -> 97.98% (0.2s)
  [167/300] split=5   tabebm +  xgboost -> 95.95% (0.1s)
