method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,2.4,1.0,1.5,4.3,1.0,1.3,1.9166666666666667
smote,2.0,2.2,2.1,3.5,2.0,2.2,2.3333333333333335
tabebm,2.2,2.9,2.8,1.4,3.0,2.9,2.533333333333333
ctgan,3.4,3.9,3.6,4.2,4.5,4.9,4.083333333333333
tvae,5.0,5.0,5.0,1.6,4.5,3.7,4.133333333333334
