,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,92.49899,91.49079,94.49904000000001,95.46838,97.48739,94.76418,2.4284702612733167,2.521505828953096,1.9360618121445496,2.0315178675616505,1.7737979381667084,1.1514285019535992
ctgan,92.49899,91.49079,94.86238,96.08645,97.48739,94.76418,2.4284702612733167,2.521505828953096,1.8519102400854455,1.9862491150966484,1.7737979381667084,1.1514285019535992
smote,95.94323,91.84582,94.18293,96.21671,95.95333000000001,94.35931,1.1012077319924778,2.64951330616692,2.2199406603931267,1.7080581153592043,1.779331215216676,1.699339224816518
tabebm,96.12994,91.80634,94.84742,96.45414,96.44403,95.14626000000001,1.3164095539678327,2.608562402380112,1.8782063735856507,1.6343241853031083,1.5408188948665484,1.9623497259946039
tvae,92.88709,90.59124,93.97691999999999,96.02421000000001,96.88837,95.58451,2.50951298083911,3.0753770403715412,2.340491814792588,2.0581178847837327,1.5703586696109302,1.712960025770854
