method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,3.9,2.3,2.4,2.8,1.1,3.4,2.65
tabebm,2.9,3.1,2.5,2.0,3.8,1.6,2.65
tvae,1.8,2.8,4.2,3.0,2.9,2.9,2.9333333333333336
smote,1.4,3.5,3.0,2.7,5.0,3.4,3.1666666666666665
ctgan,5.0,3.3,2.9,4.5,2.2,3.7,3.6
