method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.6,1.3,2.3,3.1,2.3,2.12
smote,2.1,2.7,2.3,2.9,3.0,2.6
tvae,2.7,2.6,2.8,3.2,2.5,2.7600000000000002
baseline,4.7,4.6,2.7,2.9,3.5,3.6799999999999997
ctgan,3.9,3.8,4.9,2.9,3.7,3.84
