,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,95.92963999999999,99.9133,99.68208999999999,96.23623,100.0,99.89632,1.1944902540879552,0.1396002626549602,0.34602320554809185,1.2557934579380399,0.0,0.3278649478062575
ctgan,95.92963999999999,99.9133,99.6379,96.46578,100.0,99.89632,1.1944902540879552,0.1396002626549602,0.28413653212652634,1.230330818926353,0.0,0.3278649478062575
smote,96.39000999999999,99.8844,99.65151,96.85847,100.0,99.9711,0.8336708709076925,0.20207050474745122,0.3075976861999378,0.9070638125904429,0.0,0.09138982437886746
tabebm,96.43102999999999,99.9133,99.65151,98.42586,100.0,99.98470999999999,1.1267501458718447,0.1396002626549602,0.3231707166670752,0.9604035172780239,0.0,0.04835122542397633
tvae,90.10996,92.32927,94.78611,98.45813000000001,99.7688,100.0,1.7097966884983682,2.4429094798575286,1.410761216467507,0.7702360634535633,0.2655726726236084,0.0
