method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
smote,1.5,1.0,1.6,2.5,3.8,3.8,2.3666666666666667
tabebm,1.9,2.5,1.7,3.2,3.1,2.2,2.4333333333333336
baseline,3.5,2.7,3.4,2.2,1.4,2.7,2.6500000000000004
ctgan,4.6,3.8,3.7,2.4,2.5,3.7,3.4499999999999997
tvae,3.5,5.0,4.6,4.7,4.2,2.6,4.1000000000000005
