=== statlog n=100 on GPU 1 ===

============================================================
Dataset: statlog, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded statlog: 1000 samples, 20 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [91/300] split=3 baseline +       lr -> 62.71% (0.0s)
  [92/300] split=3 baseline +      knn -> 56.62% (0.1s)
  [93/300] split=3 baseline +      mlp -> 60.52% (0.1s)
  [94/300] split=3 baseline +       rf -> 58.62% (0.1s)
  [95/300] split=3 baseline +  xgboost -> 61.67% (0.1s)
  [96/300] split=3 baseline +   tabpfn -> 56.19% (0.7s)
  [97/300] split=3    smote +       lr -> 62.14% (0.1s)
  [98/300] split=3    smote +      knn -> 58.00% (0.1s)
  [99/300] split=3    smote +      mlp -> 59.71% (0.3s)
  [100/300] split=3    smote +       rf -> 64.19% (0.2s)
  [101/300] split=3    smote +  xgboost -> 64.14% (0.1s)
  [102/300] split=3    smote +   tabpfn -> 62.57% (0.4s)
  [103/300] split=3   tabebm +       lr -> 63.62% (0.1s)
  [104/300] split=3   tabebm +      knn -> 56.95% (0.1s)
  [105/300] split=3   tabebm +      mlp -> 61.67% (0.6s)
  [106/300] split=3   tabebm +       rf -> 64.48% (0.2s)
  [107/300] split=3   tabebm +  xgboost -> 65.24% (0.1s)
  [108/300] split=3   tabebm +   tabpfn -> 56.52% (0.2s)
  [109/300] split=3     tvae +       lr -> 58.38% (0.1s)
  [110/300] split=3     tvae +      knn -> 61.43% (0.1s)
  [111/300] split=3     tvae +      mlp -> 59.48% (1.1s)
  [112/300] split=3     tvae +       rf -> 62.00% (0.3s)
  [113/300] split=3     tvae +  xgboost -> 61.29% (0.1s)
  [114/300] split=3     tvae +   tabpfn -> 59.76% (0.8s)
  [115/300] split=3    ctgan +       lr -> 58.48% (0.1s)
  [116/300] split=3    ctgan +      knn -> 58.71% (0.2s)
  [117/300] split=3    ctgan +      mlp -> 57.43% (1.2s)
  [118/300] split=3    ctgan +       rf -> 66.81% (0.2s)
  [119/300] split=3    ctgan +  xgboost -> 63.10% (0.1s)
  [120/300] split=3    ctgan +   tabpfn -> 59.38% (0.2s)
  [121/300] split=4 baseline +       lr -> 61.62% (0.0s)
  [122/300] split=4 baseline +      knn -> 57.38% (0.1s)
  [123/300] split=4 baseline +      mlp -> 60.38% (0.1s)
  [124/300] split=4 baseline +       rf -> 59.43% (0.2s)
  [125/300] split=4 baseline +  xgboost -> 64.43% (0.1s)
  [126/300] split=4 baseline +   tabpfn -> 52.33% (0.7s)
  [127/300] split=4    smote +       lr -> 62.52% (0.1s)
  [128/300] split=4    smote +      knn -> 57.24% (0.1s)
  [129/300] split=4    smote +      mlp -> 58.76% (0.6s)
  [130/300] split=4    smote +       rf -> 62.33% (0.2s)
  [131/300] split=4    smote +  xgboost -> 66.38% (0.1s)
  [132/300] split=4    smote +   tabpfn -> 60.76% (0.4s)
  [133/300] split=4   tabebm +       lr -> 63.48% (0.1s)
  [134/300] split=4   tabebm +      knn -> 55.81% (0.2s)
  [135/300] split=4   tabebm +      mlp -> 59.71% (0.3s)
  [136/300] split=4   tabebm +       rf -> 62.14% (0.2s)
  [137/300] split=4   tabebm +  xgboost -> 63.71% (0.1s)
  [138/300] split=4   tabebm +   tabpfn -> 55.67% (0.6s)
  [139/300] split=4     tvae +       lr -> 63.86% (0.2s)
  [140/300] split=4     tvae +      knn -> 63.81% (0.1s)
  [141/300] split=4     tvae +      mlp -> 59.62% (1.1s)
  [142/300] split=4     tvae +       rf -> 59.43% (0.2s)
  [143/300] split=4     tvae +  xgboost -> 60.29% (0.1s)
  [144/300] split=4     tvae +   tabpfn -> 63.14% (0.2s)
  [145/300] split=4    ctgan +       lr -> 67.24% (0.1s)
  [146/300] split=4    ctgan +      knn -> 62.43% (0.1s)
  [147/300] split=4    ctgan +      mlp -> 62.29% (0.6s)
  [148/300] split=4    ctgan +       rf -> 60.19% (0.2s)
  [149/300] split=4    ctgan +  xgboost -> 67.19% (0.1s)
  [150/300] split=4    ctgan +   tabpfn -> 60.38% (0.7s)
  [151/300] split=5 baseline +       lr -> 58.29% (0.0s)
  [152/300] split=5 baseline +      knn -> 51.90% (0.1s)
  [153/300] split=5 baseline +      mlp -> 53.76% (0.1s)
  [154/300] split=5 baseline +       rf -> 55.57% (0.3s)
  [155/300] split=5 baseline +  xgboost -> 56.48% (0.1s)
  [156/300] split=5 baseline +   tabpfn -> 55.62% (0.3s)
  [157/300] split=5    smote +       lr -> 57.67% (0.1s)
  [158/300] split=5    smote +      knn -> 52.00% (0.1s)
  [159/300] split=5    smote +      mlp -> 53.71% (0.5s)
  [160/300] split=5    smote +       rf -> 57.24% (0.2s)
  [161/300] split=5    smote +  xgboost -> 58.62% (0.1s)
  [162/300] split=5    smote +   tabpfn -> 57.19% (0.7s)
  [163/300] split=5   tabebm +       lr -> 57.48% (0.2s)
  [164/300] split=5   tabebm +      knn -> 52.14% (0.1s)
  [165/300] split=5   tabebm +      mlp -> 56.29% (0.3s)
  [166/300] split=5   tabebm +       rf -> 57.76% (0.2s)
  [167/300] split=5   tabebm +  xgboost -> 57.38% (0.1s)
  [168/300] split=5   tabebm +   tabpfn -> 54.90% (0.7s)
  [169/300] split=5     tvae +       lr -> 61.10% (0.2s)
  [170/300] split=5     tvae +      knn -> 58.05% (0.1s)
  [171/300] split=5     tvae +      mlp -> 58.76% (0.8s)
  [172/300] split=5     tvae +       rf -> 60.43% (0.2s)
  [173/300] split=5     tvae +  xgboost -> 62.00% (0.1s)
  [174/300] split=5     tvae +   tabpfn -> 59.19% (0.2s)
  [175/300] split=5    ctgan +       lr -> 59.29% (0.1s)
  [176/300] split=5    ctgan +      knn -> 54.67% (0.1s)
  [177/300] split=5    ctgan +      mlp -> 59.05% (1.0s)
  [178/300] split=5    ctgan +       rf -> 56.95% (0.2s)
  [179/300] split=5    ctgan +  xgboost -> 60.81% (0.1s)
  [180/300] split=5    ctgan +   tabpfn -> 59.43% (0.7s)
  [181/300] split=6 baseline +       lr -> 64.81% (0.0s)
  [182/300] split=6 baseline +      knn -> 58.00% (0.1s)
  [183/300] split=6 baseline +      mlp -> 63.38% (0.2s)
  [184/300] split=6 baseline +       rf -> 61.38% (0.2s)
  [185/300] split=6 baseline +  xgboost -> 64.14% (0.1s)
  [186/300] split=6 baseline +   tabpfn -> 60.81% (0.1s)
  [187/300] split=6    smote +       lr -> 64.10% (0.2s)
  [188/300] split=6    smote +      knn -> 62.71% (0.1s)
  [189/300] split=6    smote +      mlp -> 63.29% (0.7s)
  [190/300] split=6    smote +       rf -> 65.29% (0.2s)
  [191/300] split=6    smote +  xgboost -> 63.05% (0.1s)
  [192/300] split=6    smote +   tabpfn -> 62.76% (0.7s)
  [193/300] split=6   tabebm +       lr -> 64.24% (0.2s)
  [194/300] split=6   tabebm +      knn -> 60.52% (0.1s)
  [195/300] split=6   tabebm +      mlp -> 64.52% (0.5s)
  [196/300] split=6   tabebm +       rf -> 64.86% (0.2s)
  [197/300] split=6   tabebm +  xgboost -> 64.05% (0.1s)
  [198/300] split=6   tabebm +   tabpfn -> 58.67% (0.4s)
  [199/300] split=6     tvae +       lr -> 64.52% (0.1s)
  [200/300] split=6     tvae +      knn -> 60.76% (0.2s)
  [201/300] split=6     tvae +      mlp -> 65.24% (0.7s)
  [202/300] split=6     tvae +       rf -> 65.33% (0.2s)
  [203/300] split=6     tvae +  xgboost -> 65.43% (0.1s)
  [204/300] split=6     tvae +   tabpfn -> 65.95% (0.2s)
  [205/300] split=6    ctgan +       lr -> 63.10% (0.1s)
  [206/300] split=6    ctgan +      knn -> 57.81% (0.2s)
  [207/300] split=6    ctgan +      mlp -> 64.10% (0.5s)
  [208/300] split=6    ctgan +       rf -> 66.62% (0.2s)
  [209/300] split=6    ctgan +  xgboost -> 66.52% (0.1s)
  [210/300] split=6    ctgan +   tabpfn -> 64.19% (0.3s)
  [211/300] split=7 baseline +       lr -> 60.14% (0.0s)
  [212/300] split=7 baseline +      knn -> 54.90% (0.1s)
  [213/300] split=7 baseline +      mlp -> 54.05% (0.1s)
  [214/300] split=7 baseline +       rf -> 59.95% (0.2s)
  [215/300] split=7 baseline +  xgboost -> 60.33% (0.1s)
  [216/300] split=7 baseline +   tabpfn -> 56.62% (0.2s)
  [217/300] split=7    smote +       lr -> 59.19% (0.1s)
  [218/300] split=7    smote +      knn -> 52.81% (0.1s)
  [219/300] split=7    smote +      mlp -> 58.14% (0.5s)
  [220/300] split=7    smote +       rf -> 60.05% (0.2s)
  [221/300] split=7    smote +  xgboost -> 60.29% (0.1s)
  [222/300] split=7    smote +   tabpfn -> 60.76% (0.1s)
  [223/300] split=7   tabebm +       lr -> 60.90% (0.1s)
  [224/300] split=7   tabebm +      knn -> 55.62% (0.1s)
  [225/300] split=7   tabebm +      mlp -> 57.33% (0.4s)
  [226/300] split=7   tabebm +       rf -> 60.14% (0.2s)
  [227/300] split=7   tabebm +  xgboost -> 60.24% (0.1s)
  [228/300] split=7   tabebm +   tabpfn -> 60.52% (0.5s)
  [229/300] split=7     tvae +       lr -> 60.81% (0.1s)
  [230/300] split=7     tvae +      knn -> 58.05% (0.2s)
  [231/300] split=7     tvae +      mlp -> 57.10% (0.8s)
  [232/300] split=7     tvae +       rf -> 60.67% (0.2s)
  [233/300] split=7     tvae +  xgboost -> 60.95% (0.1s)
  [234/300] split=7     tvae +   tabpfn -> 60.76% (0.7s)
  [235/300] split=7    ctgan +       lr -> 57.00% (0.2s)
  [236/300] split=7    ctgan +      knn -> 55.86% (0.1s)
  [237/300] split=7    ctgan +      mlp -> 57.90% (0.9s)
  [238/300] split=7    ctgan +       rf -> 60.86% (0.2s)
  [239/300] split=7    ctgan +  xgboost -> 59.71% (0.1s)
  [240/300] split=7    ctgan +   tabpfn -> 60.71% (0.2s)
  [241/300] split=8 baseline +       lr -> 57.43% (0.0s)
  [242/300] split=8 baseline +      knn -> 52.05% (0.1s)
  [243/300] split=8 baseline +      mlp -> 60.43% (0.2s)
  [244/300] split=8 baseline +       rf -> 57.81% (0.2s)
  [245/300] split=8 baseline +  xgboost -> 59.81% (0.1s)
  [246/300] split=8 baseline +   tabpfn -> 52.43% (0.7s)
  [247/300] split=8    smote +       lr -> 61.29% (0.1s)
  [248/300] split=8    smote +      knn -> 59.43% (0.1s)
  [249/300] split=8    smote +      mlp -> 61.00% (0.7s)
  [250/300] split=8    smote +       rf -> 60.29% (0.2s)
  [251/300] split=8    smote +  xgboost -> 60.86% (0.1s)
  [252/300] split=8    smote +   tabpfn -> 58.86% (0.2s)
  [253/300] split=8   tabebm +       lr -> 61.52% (0.4s)
  [254/300] split=8   tabebm +      knn -> 60.38% (0.1s)
  [255/300] split=8   tabebm +      mlp -> 61.71% (0.4s)
  [256/300] split=8   tabebm +       rf -> 61.33% (0.2s)
  [257/300] split=8   tabebm +  xgboost -> 60.29% (0.1s)
  [258/300] split=8   tabebm +   tabpfn -> 58.19% (0.7s)
  [259/300] split=8     tvae +       lr -> 57.62% (0.1s)
  [260/300] split=8     tvae +      knn -> 62.81% (0.1s)
  [261/300] split=8     tvae +      mlp -> 59.24% (0.7s)
  [262/300] split=8     tvae +       rf -> 57.90% (0.2s)
  [263/300] split=8     tvae +  xgboost -> 56.29% (0.1s)
  [264/300] split=8     tvae +   tabpfn -> 58.90% (0.6s)
  [265/300] split=8    ctgan +       lr -> 51.86% (0.1s)
  [266/300] split=8    ctgan +      knn -> 55.67% (0.1s)
  [267/300] split=8    ctgan +      mlp -> 56.38% (0.9s)
  [268/300] split=8    ctgan +       rf -> 53.95% (0.2s)
  [269/300] split=8    ctgan +  xgboost -> 55.62% (0.1s)
  [270/300] split=8    ctgan +   tabpfn -> 56.95% (0.3s)
  [271/300] split=9 baseline +       lr -> 65.95% (0.0s)
  [272/300] split=9 baseline +      knn -> 55.43% (0.1s)
  [273/300] split=9 baseline +      mlp -> 62.43% (0.1s)
  [274/300] split=9 baseline +       rf -> 63.00% (0.2s)
  [275/300] split=9 baseline +  xgboost -> 63.67% (0.1s)
  [276/300] split=9 baseline +   tabpfn -> 64.05% (0.7s)
  [277/300] split=9    smote +       lr -> 66.71% (0.2s)
  [278/300] split=9    smote +      knn -> 56.24% (0.1s)
  [279/300] split=9    smote +      mlp -> 63.05% (0.3s)
  [280/300] split=9    smote +       rf -> 60.57% (0.2s)
  [281/300] split=9    smote +  xgboost -> 65.14% (0.1s)
  [282/300] split=9    smote +   tabpfn -> 59.29% (0.7s)
  [283/300] split=9   tabebm +       lr -> 66.62% (0.1s)
  [284/300] split=9   tabebm +      knn -> 58.52% (0.2s)
  [285/300] split=9   tabebm +      mlp -> 62.90% (0.3s)
  [286/300] split=9   tabebm +       rf -> 63.62% (0.2s)
  [287/300] split=9   tabebm +  xgboost -> 64.57% (0.1s)
  [288/300] split=9   tabebm +   tabpfn -> 58.29% (0.6s)
  [289/300] split=9     tvae +       lr -> 66.29% (0.1s)
  [290/300] split=9     tvae +      knn -> 62.10% (0.1s)
  [291/300] split=9     tvae +      mlp -> 66.05% (0.4s)
  [292/300] split=9     tvae +       rf -> 63.10% (0.2s)
  [293/300] split=9     tvae +  xgboost -> 64.10% (0.1s)
  [294/300] split=9     tvae +   tabpfn -> 63.43% (0.7s)
  [295/300] split=9    ctgan +       lr -> 63.95% (0.1s)
  [296/300] split=9    ctgan +      knn -> 63.57% (0.1s)
  [297/300] split=9    ctgan +      mlp -> 62.52% (0.4s)
  [298/300] split=9    ctgan +       rf -> 62.48% (0.2s)
  [299/300] split=9    ctgan +  xgboost -> 65.00% (0.1s)
  [300/300] split=9    ctgan +   tabpfn -> 65.67% (0.7s)

[4/4] Saving results...
  Results: experiments/results/full_v3/statlog_n100.csv

============================================================
SUMMARY
============================================================
             mean                                       std                                 
classifier    knn     lr    mlp     rf tabpfn xgboost   knn    lr   mlp    rf tabpfn xgboost
method                                                                                      
baseline    56.07  61.48  60.50  60.37  56.80   61.83  2.95  2.66  3.71  2.60   4.58    2.66
ctgan       58.09  60.08  59.60  61.10  61.10   62.65  3.65  4.42  2.80  4.45   2.94    3.44
smote       58.30  62.81  60.67  61.41  61.50   63.17  3.77  2.89  3.17  2.53   2.57    2.71
tabebm      58.43  63.59  61.52  62.30  57.84   62.72  3.30  3.05  2.87  2.22   1.81    2.84
tvae        61.95  62.80  61.20  61.77  62.48   61.91  2.60  3.11  2.96  2.19   2.70    2.71

  Done in 16.3 min
[DONE] statlog
