method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,2.3,1.4,2.3,1.6,1.0,1.72
smote,1.0,2.4,3.1,3.4,3.0,2.58
baseline,4.0,2.6,2.6,3.4,3.1,3.1399999999999997
ctgan,5.0,3.6,2.0,2.9,4.1,3.5200000000000005
tvae,2.7,5.0,5.0,3.7,3.8,4.04
