,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,87.11505,98.87134,95.31190000000001,74.57398,99.77064,83.35303,2.245400875493427,1.3588692735751546,2.743195042281899,4.176010575444253,0.7253000041362198,5.5379043075978736
ctgan,87.11505,98.87134,95.11798999999999,74.5145,99.77064,83.35303,2.245400875493427,1.3588692735751546,3.183315214067108,3.0218174078965565,0.7253000041362198,5.5379043075978736
smote,89.54545,99.04475,95.70981,82.79553,99.31679,91.14219,1.9155807986381372,1.2036677857005773,2.6111460223221705,4.681904149915929,0.9207517006953262,5.784764850392222
tabebm,89.72424,99.17564,96.86572,88.46121000000001,98.85939,95.70982000000001,1.873632766223593,1.1440171523578155,2.0771139201626223,3.576848428264437,1.2777432670750202,4.179510934387729
tvae,76.75037999999999,82.25892,84.54103,91.67754,99.73989,96.11796000000001,2.2373656989117054,5.997598186830016,4.165845366535926,4.155499265685304,0.4610215575822407,2.2680267258860325
