eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
194,near,-3.673828,0.090468,0.228516,0.87917,7.4e-05
195,near,-3.67334,0.123591,0.289062,0.805287,0.000102
196,near,-3.775879,0.103113,0.28125,0.874388,0.000155
197,near,-3.859863,0.067381,0.189453,0.792299,0.000136
198,near,-4.0,0.041799,0.105469,0.81065,0.00027
199,near,-3.758789,0.043728,0.111328,0.80627,0.000312
200,near,-4.042969,0.009959,0.023438,0.781445,0.000384
201,near,-3.61377,0.159795,0.421875,0.816293,1e-04
202,near,-3.629883,0.158417,0.375,0.744087,0.000161
203,near,-3.161621,0.085195,0.222656,0.907412,2.2e-05
204,near,-3.98877,0.021678,0.058594,0.749131,9.8e-05
205,near,-3.808106,0.095447,0.257812,0.708244,1e-04
206,near,-3.245117,0.132168,0.369141,0.946674,2.5e-05
207,near,-3.41211,0.127216,0.353516,0.891541,0.000101
208,near,-3.47998,0.153338,0.414062,0.833518,8.2e-05
209,near,-3.323242,0.189813,0.53125,0.859751,5.4e-05
210,near,-3.717285,0.082476,0.212891,0.666983,0.000122
211,near,-3.59961,0.076957,0.216797,0.813193,7.3e-05
212,near,-3.953613,0.051386,0.130859,0.773356,0.000125
213,near,-3.608887,0.053762,0.134766,0.812569,0.000115
214,near,-3.98584,0.067762,0.158203,0.789294,9e-05
215,near,-3.728027,0.088122,0.224609,0.928183,7.8e-05
216,near,-3.67334,0.107159,0.265625,0.924102,7.8e-05
217,near,-3.512207,0.069183,0.185547,0.862642,0.000105
218,near,-3.834961,0.119145,0.326172,0.429419,0.000119
219,near,-3.170898,0.110248,0.310547,0.921901,2.6e-05
220,near,-3.525879,0.040908,0.111328,0.781325,0.00019
221,near,-3.993652,0.021007,0.058594,0.538044,0.000251
222,near,-3.704102,0.222496,0.595703,0.681158,0.000165
223,near,-3.520996,0.050317,0.140625,0.938234,6.6e-05
224,near,-3.99414,0.063062,0.169922,0.772826,0.000229
225,near,-3.569336,0.245288,0.630859,0.78625,0.00043
226,near,-3.715332,0.075194,0.210938,0.405415,0.000293
227,near,-3.49414,0.111909,0.304688,0.902843,6.3e-05
228,near,-3.333984,0.037998,0.095703,0.819916,7.3e-05
229,near,-3.344726,0.10531,0.275391,0.94574,3.5e-05
230,near,-3.709473,0.146122,0.373047,0.844799,0.000161
231,near,-3.651856,0.133795,0.361328,0.857369,9.2e-05
232,near,-3.488281,0.140211,0.378906,0.840847,0.000108
233,near,-3.821289,0.069363,0.183594,0.494588,0.000636
234,near,-3.97168,0.040371,0.113281,0.821775,0.000297
235,near,-3.295898,0.138428,0.355469,0.966514,1.4e-05
236,near,-3.942871,0.062169,0.154297,0.843765,0.000103
237,near,-3.522461,0.143621,0.371094,0.902807,2.8e-05
238,near,-3.70166,0.136624,0.345703,0.898949,0.000129
239,near,-3.38916,0.095097,0.230469,0.934391,6.3e-05
240,near,-3.852539,0.075902,0.185547,0.748244,0.000168
241,near,-3.565918,0.057383,0.144531,0.915741,7e-05
242,near,-3.795898,0.057947,0.126953,0.771895,0.000364
243,near,-3.79834,0.093611,0.259766,0.875253,8.8e-05
244,near,-3.595215,0.091614,0.251953,0.935796,0.000114
245,near,-3.052246,0.118967,0.300781,0.935244,2.6e-05
246,near,-3.610352,0.128004,0.316406,0.585773,0.000263
247,near,-3.124512,0.02835,0.078125,0.914591,2.4e-05
248,near,-3.746582,0.116832,0.320312,0.784237,0.000228
249,near,-3.456543,0.14425,0.353516,0.946231,2.2e-05
250,near,-3.490723,0.046944,0.105469,0.894849,1e-04
251,near,-3.491211,0.087396,0.236328,0.832256,0.000104
252,near,-3.466308,0.108327,0.273438,0.930725,5.6e-05
253,far,-2.458984,0.061671,0.152344,0.812162,1e-06
254,far,-2.417969,0.057659,0.146484,0.802233,1e-06
255,far,-2.472656,0.035048,0.09375,0.603653,1e-06
256,far,-2.443848,0.081253,0.216797,0.869688,2e-06
257,far,-2.543457,0.069787,0.189453,0.868896,2e-06
258,far,-2.361328,0.025578,0.072266,0.491282,1e-06
