ebm_i,dist_i,ebm_j,dist_j,pearson_r
0,5.0,1,5.0,0.983
0,5.0,2,5.0,0.9878
0,5.0,3,5.0,0.9778
1,5.0,2,5.0,0.9812
1,5.0,3,5.0,0.9702
2,5.0,3,5.0,0.9689
